,Date,Mean Pressure,Air Temperature Mean Maximum(deg.C),Air Temperature Mean(deg.C),Air Temperature Mean Minimum(deg.C),Wet Bulb(deg.C),Dew Point(deg. C),Relative Humidity(%),Mean Daily Rainfall(mm),Amount of Cloud(%)
0,1 Nov,1017.0,25.7,23.4,21.4,19.6,17.2,70,1.5,51
1,2 Nov,1017.2,25.5,23.3,21.3,19.5,17.0,69,1.7,51
2,3 Nov,1017.2,25.4,23.2,21.3,19.5,17.1,70,2.1,52
3,4 Nov,1017.0,25.4,23.2,21.3,19.7,17.4,71,2.1,53
4,5 Nov,1016.7,25.5,23.3,21.5,19.9,17.7,72,1.9,52
5,6 Nov,1016.4,25.6,23.4,21.6,20.1,18.0,73,1.8,54
6,7 Nov,1016.3,25.5,23.3,21.5,20.1,18.0,74,1.3,56
7,8 Nov,1016.4,25.4,23.0,21.2,19.7,17.6,72,0.8,55
8,9 Nov,1016.6,25.1,22.7,20.8,19.3,17.0,71,0.9,54
9,10 Nov,1016.8,24.8,22.4,20.5,19.0,16.6,71,1.2,54
10,11 Nov,1017.0,24.7,22.2,20.2,18.7,16.3,70,1.0,53
11,12 Nov,1017.1,24.6,22.2,20.2,18.8,16.4,71,0.9,54
12,13 Nov,1017.2,24.6,22.2,20.3,18.9,16.7,72,1.3,58
13,14 Nov,1017.2,24.5,22.2,20.2,19.0,16.9,73,1.7,61
14,15 Nov,1017.4,24.4,22.0,20.1,18.8,16.7,73,1.3,63
15,16 Nov,1017.8,24.0,21.7,19.8,18.5,16.3,73,1.6,63
16,17 Nov,1018.1,23.7,21.4,19.5,18.2,15.9,72,1.6,61
17,18 Nov,1018.4,23.4,21.1,19.2,17.8,15.4,71,1.2,56
18,19 Nov,1018.6,23.2,20.8,18.9,17.5,15.0,70,1.2,53
19,20 Nov,1018.7,23.0,20.7,18.8,17.4,14.9,70,1.3,52
20,21 Nov,1018.5,23.2,20.9,18.9,17.5,15.1,71,1.1,50
21,22 Nov,1018.4,23.3,20.9,18.9,17.6,15.1,70,0.9,49
22,23 Nov,1018.3,23.3,21.0,19.0,17.7,15.2,71,1.0,51
23,24 Nov,1018.2,23.3,21.1,19.1,17.8,15.3,71,0.7,53
24,25 Nov,1018.2,23.3,21.1,19.2,17.7,15.1,70,0.7,53
25,26 Nov,1018.4,23.1,20.8,18.8,17.4,14.7,70,1.2,53
26,27 Nov,1018.7,22.7,20.4,18.4,17.0,14.3,70,1.2,54
27,28 Nov,1019.0,22.4,20.1,18.0,16.7,13.9,70,1.2,53
28,29 Nov,1019.4,22.1,19.7,17.7,16.3,13.4,69,0.9,51
29,30 Nov,1019.7,21.8,19.4,17.4,16.1,13.2,69,0.8,50
31,Observed at,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory,Hong Kong Observatory
