,Date,Bright Sunshine Duration(hours),Wind Prevailing Direction(degrees),Wind Mean Speed(km/h),Sea Temperature AM(deg. C),Sea Temperature PM(deg. C)
0,1 Mar,3.1,070,25,17.1,17.3
1,2 Mar,3.2,070,24,17.1,17.3
2,3 Mar,3.8,060,24,17.1,17.4
3,4 Mar,4.0,060,24,17.1,17.4
4,5 Mar,4.2,060,23,17.2,17.5
5,6 Mar,4.2,060,24,17.2,17.5
6,7 Mar,4.1,060,24,17.2,17.6
7,8 Mar,3.6,060,25,17.3,17.6
8,9 Mar,3.6,060,24,17.3,17.6
9,10 Mar,3.3,060,23,17.4,17.7
10,11 Mar,3.0,050,23,17.5,17.8
11,12 Mar,2.8,050,22,17.6,17.9
12,13 Mar,2.7,050,21,17.8,18.1
13,14 Mar,2.6,050,21,17.9,18.2
14,15 Mar,2.5,060,21,18.0,18.3
15,16 Mar,2.3,060,21,18.1,18.3
16,17 Mar,2.5,060,21,18.1,18.4
17,18 Mar,2.4,060,21,18.2,18.5
18,19 Mar,2.5,060,22,18.3,18.6
19,20 Mar,2.5,060,22,18.3,18.7
20,21 Mar,2.5,060,22,18.4,18.8
21,22 Mar,2.4,060,22,18.5,18.8
22,23 Mar,2.2,070,23,18.6,18.9
23,24 Mar,2.0,070,24,18.6,18.9
24,25 Mar,2.2,070,25,18.7,19.0
25,26 Mar,2.4,070,24,18.8,19.1
26,27 Mar,2.5,070,24,18.8,19.2
27,28 Mar,2.8,070,23,18.9,19.3
28,29 Mar,2.9,070,22,18.9,19.4
29,30 Mar,2.9,070,22,19.0,19.5
30,31 Mar,2.8,070,22,19.1,19.6
31,Observed at,king's park,Waglan Island,Waglan Island,North Point,North Point
